"PROGRAMA_ORIGEN";"PROGRAMA_USADO"
"A_ACPSAA";"A_MARTIC"
"A_ACPSAA";"A_MALMAC"
"A_ACPSAA";"A_MPUSER"
"A_ACPSAA";"A_MPUSER"
"A_ALBTRA";"A_MCODMO"
"A_ALBTRA";"A_MCODMO"
"A_ALBTRA";"A_MALMAC"
"A_ALBTRA";"A_MALMAC"
"A_ALBTRA";"A_MALMAC"
"A_ALBTRA";"A_MALMAC"
"A_APEROT";"VHCTOCTE"
"A_APEROT";"A_MALMAC"
"A_APEROT";"CLIENTES"
"A_ARENVP";"A_MARTIC"
"A_ARENVP";"A_MARTIC"
"A_ARENVP";"A_MARTIC"
"A_ARENVP";"PROVEED"
"A_ARENVP";"A_MPRESE"
"A_ARTCER";"A_MARTIC"
"A_ARTCLI";"A_MARTIC"
"A_ARTCLI";"A_MARTIC"
"A_ARTCLI";"CLI_CONT"
"A_ARTCLI";"A_MZONAL"
"A_ARTCLI";"A_MZONAL"
"A_ARTCLI";"A_MALMAC"
"A_ARTCLI";"A_MALMAC"
"A_ARTCLI";"CLI_CONT"
"A_ARTCLI";"CLIENTES"
"A_ARTCLI";"CLIENTES"
"A_ARTKIT";"PRC_ARTALQ"
"A_ARTKIT";"A_MARTIC"
"A_ARTKIT";"PRC_ARTALQ"
"A_ARTKIT";"A_MARTIC"
"A_ARTKIT";"A_MALMAC"
"A_ARTKIT";"A_MALMAC"
"A_ARTKIT";"A_MALMAC"
"A_ASGPOT";"A_MARTIC"
"A_ASGPOT";"P_MTRABA"
"A_ASGPOT";"A_MARTIC"
"A_ASGPOT";"A_MALMAC"
"A_ASGPOT";"P_MTRABA"
"A_ASGPOT";"A_MPRESE"
"A_AUTVAL";"USUARIOS2"
"A_AVIART";"A_MARTIC"
"ABSORCEN";"DIARIOS"
"ABSORCEN";"MARCASPU"
"ABSORCEN";"CARASIEN"
"ABSORCEN";"CARASIEN"
"ABSORCEN";"CARASIEN"
"ABSORCEN";"CONCEPTO"
"A_CALID";"A_MSITST"
"A_CALID";"CARASIEN"
"A_CALID";"A_MCODMO"
"A_CALID";"A_MCODMO"
"A_CALID";"A_MCODMO"
"A_CALID";"A_MALMAC"
"A_CALID";"C_MORCMP"
"A_CALID";"C_MORCMP"
"A_CALID";"PROVEED"
"A_CALID";"PROVEED"
"A_CALID";"A_MALMAC"
"A_CALID";"A_MALMAC"
