"CODIGO";"NOMBRE";"PROGRAMA";"COD_PADRE";"ORDEN"
"2V00030024";"MODIFICACIÓN DE COSTES";"MODCOSTES";"2V10030";"580"
"2V001038";"PROCESOS DE ARMADORAS";"";"2V20";"250"
"2V001039";"MAREAS DE PESCA";"MAREAS";"2V001038";""
"2V001040";"DIARIO DE ABORDO";"PSDIARIO";"2V001038";""
"2V001042";"DIARIO MAREA";"DIARIOMAREA";"2V001038";""
"2V001196";"TAREAS";"MWL.RFTAREAS";"2V8008030";"5"
"2V001197";"ANULAR PREPARACIÓN";"MWL.ANULPREPEXP";"2V8008030";"80"
"2V001218";"CONDICIONES FINANCIERAS";"COND_FINAN";"2V10010050";"1000"
"2V001219";"TIPOS REFERENCIA INTERÉS";"TIP_REFER_INTERES";"2V10010050";"1050"
"2V001220";"PREDEFINIDOS CUENTAS TRANSITO";"PREDEF_TRT";"2V10020";"900"
"2V001225";"GASTOS TRANSACCIONES COBROS";"BANTT_GASTOS";"2V10010050";"1100"
"2V10";"FINANCIERA";"";"";"100"
"2V10000";"MAESTROS GENÉRICOS";"";"2V10";"100"
"2V10000010";"ESTADOS";"";"2V10000";"100"
"2V1000001010";"ESTADOS Y CCAA";"COMUN_AUTO";"2V10000010";"100"
"2V1000001015";"CONTINENTES";"CONTINENTES";"2V10000010";"50"
"2V1000001020";"ESTADOS Y PROVINCIAS";"ESTAPROV";"2V10000010";"200"
"2V1000001030";"TIPOS DE ENTIDAD POR ESTADO";"TIPNIF";"2V10000010";"300"
"2V1000001040";"RELACIÓN ESTADOS -> INTRASTAT";"REL_L_I";"2V10000010";"400"
"2V1000001050";"CONJUNTOS DE ESTADOS";"CONJUNTOS_ESTADOS";"2V10000010";"500"
"2V10000015";"C.N.A.E.";"CNAE";"2V10000";"200"
"2V10000020";"DELEGACIONES HACIENDA";"HACIENDA";"2V10000";"300"
"2V10000025";"CONTADORES";"CONTADOR";"2V10000";"400"
"2V10000026";"CONTADORES - VARIOS";"CONTADORES";"2V10000";"400"
"2V10000030";"DIVISAS";"";"2V10000";"500"
"2V1000003010";"DIVISAS";"DIVISAS";"2V10000030";"100"
"2V1000003015";"PARÁMETROS REGULARIZACIÓN NIIF";"PARAM_REGDIV";"2V10000030";"1500"
"2V1000003020";"CAMBIO DE DIVISAS";"CAMDIVI";"2V10000030";"200"
"2V1000003030";"CAMBIO DE DIVISAS ADUANA";"CAMBADU";"2V10000030";"300"
"2V1000003090";"PARÁMETROS IMPORTACIÓN DIVISAS";"PARIMPDIVI";"2V10000030";"900"
"2V10000035";"IMPUESTOS";"";"2V10000";"600"
"2V1000003505";"CLASIFICACIÓN DE IMPUESTOS";"CLASIMPCONT";"2V10000035";"50"
